name,status,checked_at,cpu,mem
equipment-0121,정상,2026-09-10,26,68
equipment-0122,오프라인,2026-04-15,27,97
equipment-0123,점검 필요,2026-05-16,90,40
equipment-0124,오프라인,2026-04-05,42,47
equipment-0125,오프라인,2026-04-28,26,45
equipment-0126,오프라인,2026-05-10,35,2
equipment-0127,점검 필요,2026-04-01,92,100
equipment-0128,점검 필요,2026-07-30,89,40
equipment-0129,정상,2026-06-12,88,67
equipment-0130,정상,2026-01-31,50,66
equipment-0131,점검 필요,2026-04-15,46,31
equipment-0132,점검 필요,2026-04-13,2,60
equipment-0133,오프라인,2026-06-26,29,31
equipment-0134,오프라인,2026-02-20,78,42
equipment-0135,오프라인,2026-03-13,52,33
equipment-0136,오프라인,2026-09-08,74,39
equipment-0137,점검 필요,2026-05-09,15,81
equipment-0138,정상,2026-09-06,70,46
equipment-0139,정상,2026-07-12,9,64
equipment-0140,오프라인,2026-01-14,59,83
equipment-0141,오프라인,2026-02-20,78,60
equipment-0142,점검 필요,2026-03-16,20,9
equipment-0143,정상,2026-03-31,13,76
equipment-0144,정상,2026-04-25,54,4
equipment-0145,점검 필요,2026-04-10,46,54
equipment-0146,정상,2026-05-29,29,54
equipment-0147,점검 필요,2026-08-24,22,82
equipment-0148,오프라인,2026-01-01,100,95
equipment-0149,오프라인,2026-08-09,7,15
equipment-0150,점검 필요,2026-08-24,12,51
equipment-0151,점검 필요,2026-05-04,77,12
equipment-0152,오프라인,2026-02-14,86,29
equipment-0153,오프라인,2026-03-02,23,40
equipment-0154,정상,2026-06-09,84,3
equipment-0155,정상,2026-02-27,74,22
equipment-0156,오프라인,2026-05-18,80,36
equipment-0157,오프라인,2026-05-18,7,45
equipment-0158,점검 필요,2026-08-25,55,97
equipment-0159,정상,2026-07-17,95,37
equipment-0160,오프라인,2026-01-18,52,8
equipment-0161,점검 필요,2026-05-23,11,62
equipment-0162,점검 필요,2026-07-14,92,66
equipment-0163,점검 필요,2026-05-05,9,86
equipment-0164,점검 필요,2026-06-28,31,13
equipment-0165,오프라인,2026-01-25,63,18
equipment-0166,오프라인,2026-08-13,73,26
equipment-0167,정상,2026-02-08,12,17
equipment-0168,점검 필요,2026-09-15,40,68
equipment-0169,정상,2026-09-08,1,60
equipment-0170,정상,2026-05-22,84,23
equipment-0171,오프라인,2026-08-26,82,62
equipment-0172,점검 필요,2026-06-30,31,6
equipment-0173,오프라인,2026-03-27,79,84
equipment-0174,점검 필요,2026-04-23,47,32
equipment-0175,오프라인,2026-08-25,48,83
equipment-0176,점검 필요,2026-02-03,22,37
equipment-0177,오프라인,2026-07-09,86,75
equipment-0178,정상,2026-03-04,40,76
equipment-0179,점검 필요,2026-04-23,11,99
equipment-0180,정상,2026-06-22,1,54
equipment-0181,점검 필요,2026-03-18,11,19
equipment-0182,정상,2026-04-13,53,21
equipment-0183,오프라인,2026-06-11,64,28
equipment-0184,정상,2026-01-28,42,65
equipment-0185,정상,2026-05-29,56,68
equipment-0186,정상,2026-03-20,3,30
equipment-0187,점검 필요,2026-02-13,78,81
equipment-0188,점검 필요,2026-03-12,48,80
equipment-0189,점검 필요,2026-08-27,40,39
equipment-0190,점검 필요,2026-07-27,24,99
equipment-0191,정상,2026-04-18,89,23
equipment-0192,점검 필요,2026-02-22,80,76
equipment-0193,오프라인,2026-05-10,80,33
equipment-0194,오프라인,2026-07-03,84,15
equipment-0195,오프라인,2026-05-04,61,47
equipment-0196,점검 필요,2026-03-13,80,63
equipment-0197,정상,2026-09-03,55,88
equipment-0198,정상,2026-01-28,32,93
equipment-0199,정상,2026-07-15,14,12
equipment-0200,오프라인,2026-03-31,43,29
equipment-0201,오프라인,2026-07-06,20,41
equipment-0202,정상,2026-07-18,38,53
equipment-0203,오프라인,2026-01-23,14,91
equipment-0204,점검 필요,2026-07-21,91,90
equipment-0205,오프라인,2026-08-09,27,65
equipment-0206,정상,2026-01-09,96,97
equipment-0207,점검 필요,2026-08-16,59,76
equipment-0208,오프라인,2026-07-27,61,15
equipment-0209,점검 필요,2026-02-14,48,77
equipment-0210,점검 필요,2026-04-07,92,79
equipment-0211,정상,2026-08-06,79,34
equipment-0212,점검 필요,2026-03-25,90,91
equipment-0213,정상,2026-06-11,32,55
equipment-0214,오프라인,2026-06-11,99,7
equipment-0215,오프라인,2026-04-16,63,63
equipment-0216,오프라인,2026-02-10,96,5
equipment-0217,오프라인,2026-08-24,28,18
equipment-0218,정상,2026-06-28,81,94
equipment-0219,정상,2026-01-11,34,14
equipment-0220,정상,2026-02-27,92,12
equipment-0221,점검 필요,2026-06-15,28,40
equipment-0222,오프라인,2026-01-18,35,18
equipment-0223,점검 필요,2026-02-14,67,16
equipment-0224,정상,2026-08-26,60,57
equipment-0225,오프라인,2026-03-27,14,40
equipment-0226,정상,2026-05-15,70,53
equipment-0227,정상,2026-08-17,63,7
equipment-0228,정상,2026-01-18,15,80
equipment-0229,정상,2026-05-16,25,22
equipment-0230,점검 필요,2026-07-23,42,82
equipment-0231,오프라인,2026-07-21,5,81
equipment-0232,정상,2026-02-22,82,88
equipment-0233,정상,2026-01-31,97,32
equipment-0234,오프라인,2026-03-03,48,9
equipment-0235,정상,2026-02-25,69,23
equipment-0236,정상,2026-05-21,12,39
equipment-0237,정상,2026-01-26,41,99
equipment-0238,오프라인,2026-04-04,44,17
equipment-0239,정상,2026-02-04,79,13
equipment-0240,정상,2026-03-02,74,1
equipment-0241,점검 필요,2026-01-15,18,19
equipment-0242,점검 필요,2026-04-13,4,9
equipment-0243,정상,2026-02-08,81,7
equipment-0244,점검 필요,2026-04-19,66,3
equipment-0245,오프라인,2026-08-10,37,17
equipment-0246,정상,2026-01-23,64,11
equipment-0247,점검 필요,2026-09-13,42,77
equipment-0248,점검 필요,2026-02-14,54,49
equipment-0249,오프라인,2026-03-04,41,74
equipment-0250,오프라인,2026-09-11,69,93
equipment-0251,오프라인,2026-04-10,74,12
equipment-0252,점검 필요,2026-05-12,75,87
equipment-0253,오프라인,2026-03-23,90,57
equipment-0254,오프라인,2026-07-18,33,74
equipment-0255,오프라인,2026-08-29,99,24
equipment-0256,점검 필요,2026-01-09,35,10
equipment-0257,점검 필요,2026-04-08,50,8
equipment-0258,정상,2026-03-12,3,5
equipment-0259,점검 필요,2026-03-16,36,35
equipment-0260,점검 필요,2026-06-12,78,48
equipment-0261,점검 필요,2026-09-15,14,97
equipment-0262,점검 필요,2026-09-09,48,40
equipment-0263,점검 필요,2026-06-22,93,39
equipment-0264,오프라인,2026-04-06,10,76
equipment-0265,점검 필요,2026-02-19,73,47
equipment-0266,오프라인,2026-03-02,32,5
equipment-0267,점검 필요,2026-05-14,17,37
equipment-0268,정상,2026-01-20,10,30
equipment-0269,점검 필요,2026-01-01,88,29
equipment-0270,오프라인,2026-03-09,65,24
equipment-0271,점검 필요,2026-01-30,66,45
equipment-0272,점검 필요,2026-07-19,51,1
equipment-0273,오프라인,2026-02-03,77,45
equipment-0274,정상,2026-02-01,98,59
equipment-0275,정상,2026-08-29,59,82
equipment-0276,정상,2026-07-05,27,9
equipment-0277,오프라인,2026-04-12,35,57
equipment-0278,정상,2026-06-18,92,6
equipment-0279,정상,2026-07-13,37,92
equipment-0280,오프라인,2026-03-12,84,87
equipment-0281,정상,2026-03-06,63,18
equipment-0282,오프라인,2026-04-21,82,56
equipment-0283,정상,2026-01-22,38,100
equipment-0284,점검 필요,2026-04-04,75,42
equipment-0285,오프라인,2026-03-18,12,89
equipment-0286,정상,2026-07-27,87,47
equipment-0287,점검 필요,2026-07-17,74,74
equipment-0288,정상,2026-08-31,46,77
equipment-0289,정상,2026-01-07,64,2
equipment-0290,오프라인,2026-06-28,29,6
equipment-0291,오프라인,2026-06-07,81,36
equipment-0292,점검 필요,2026-04-16,23,39
equipment-0293,점검 필요,2026-03-07,67,29
equipment-0294,점검 필요,2026-03-28,46,15
equipment-0295,오프라인,2026-05-18,79,65
equipment-0296,점검 필요,2026-01-28,27,36
equipment-0297,오프라인,2026-04-17,91,44
equipment-0298,오프라인,2026-01-27,7,7
equipment-0299,점검 필요,2026-05-21,9,27
equipment-0300,점검 필요,2026-06-23,68,71
equipment-0301,점검 필요,2026-05-29,83,4
equipment-0302,정상,2026-05-22,97,48
equipment-0303,정상,2026-03-22,24,38
equipment-0304,정상,2026-03-30,72,26
equipment-0305,정상,2026-07-05,76,15
equipment-0306,오프라인,2026-03-20,53,95
equipment-0307,정상,2026-01-30,44,11
equipment-0308,오프라인,2026-01-03,58,34
equipment-0309,정상,2026-02-19,49,47
equipment-0310,정상,2026-06-14,97,92
equipment-0311,정상,2026-03-01,84,77
equipment-0312,점검 필요,2026-05-27,90,18
equipment-0313,점검 필요,2026-09-13,51,64
equipment-0314,오프라인,2026-04-05,19,60
equipment-0315,오프라인,2026-07-02,8,26
equipment-0316,오프라인,2026-01-02,11,39
equipment-0317,정상,2026-07-31,39,82
equipment-0318,오프라인,2026-02-11,95,30
equipment-0319,정상,2026-08-01,73,3
equipment-0320,정상,2026-02-08,92,13
equipment-0321,오프라인,2026-08-21,63,88
equipment-0322,오프라인,2026-04-14,37,54
equipment-0323,오프라인,2026-04-09,81,75
equipment-0324,점검 필요,2026-05-29,43,83
equipment-0325,오프라인,2026-05-19,1,19
equipment-0326,점검 필요,2026-03-08,59,71
equipment-0327,점검 필요,2026-06-27,14,86
equipment-0328,점검 필요,2026-06-11,50,61
equipment-0329,정상,2026-05-20,5,59
equipment-0330,점검 필요,2026-06-10,91,39
equipment-0331,점검 필요,2026-07-03,46,92
equipment-0332,점검 필요,2026-02-24,100,92
equipment-0333,오프라인,2026-02-28,72,95
equipment-0334,점검 필요,2026-07-04,91,75
equipment-0335,정상,2026-05-28,47,91
equipment-0336,정상,2026-09-13,59,3
equipment-0337,점검 필요,2026-04-14,95,67
equipment-0338,점검 필요,2026-02-08,3,73
equipment-0339,정상,2026-08-29,10,2
equipment-0340,정상,2026-03-08,14,10
equipment-0341,점검 필요,2026-04-30,50,55
equipment-0342,점검 필요,2026-07-18,47,79
equipment-0343,점검 필요,2026-05-31,80,28
equipment-0344,점검 필요,2026-08-07,35,14
equipment-0345,정상,2026-03-12,93,82
equipment-0346,정상,2026-06-11,96,4
equipment-0347,정상,2026-05-03,10,96
equipment-0348,오프라인,2026-03-24,75,63
equipment-0349,정상,2026-06-13,50,22
equipment-0350,정상,2026-01-21,10,46
equipment-0351,점검 필요,2026-08-31,55,50
equipment-0352,오프라인,2026-06-15,5,2
equipment-0353,점검 필요,2026-07-21,31,17
equipment-0354,점검 필요,2026-08-30,56,65
equipment-0355,점검 필요,2026-04-30,84,35
equipment-0356,점검 필요,2026-02-05,24,58
equipment-0357,점검 필요,2026-02-06,26,17
equipment-0358,정상,2026-06-02,18,14
equipment-0359,정상,2026-02-21,9,85
equipment-0360,정상,2026-08-30,86,89
equipment-0361,정상,2026-07-10,13,91
equipment-0362,점검 필요,2026-03-29,82,35
equipment-0363,점검 필요,2026-01-03,7,61
equipment-0364,점검 필요,2026-02-17,79,19
equipment-0365,정상,2026-05-19,5,83
equipment-0366,오프라인,2026-05-26,93,42
equipment-0367,오프라인,2026-02-23,82,73
equipment-0368,오프라인,2026-06-27,2,22
equipment-0369,오프라인,2026-01-22,65,94
equipment-0370,오프라인,2026-09-01,46,94
equipment-0371,오프라인,2026-02-24,93,92
equipment-0372,오프라인,2026-04-24,79,18
equipment-0373,점검 필요,2026-01-24,66,84
equipment-0374,점검 필요,2026-01-26,28,3
equipment-0375,오프라인,2026-06-29,3,1
equipment-0376,오프라인,2026-03-31,12,50
equipment-0377,점검 필요,2026-08-23,33,12
equipment-0378,오프라인,2026-01-06,14,54
equipment-0379,점검 필요,2026-06-17,63,28
equipment-0380,점검 필요,2026-02-21,32,20
equipment-0381,점검 필요,2026-06-21,2,81
equipment-0382,오프라인,2026-09-12,100,28
equipment-0383,오프라인,2026-09-09,35,24
equipment-0384,정상,2026-04-04,26,81
equipment-0385,오프라인,2026-07-20,26,70
equipment-0386,오프라인,2026-04-26,9,64
equipment-0387,오프라인,2026-08-12,17,27
equipment-0388,오프라인,2026-06-16,69,52
equipment-0389,정상,2026-05-09,6,30
equipment-0390,점검 필요,2026-06-01,60,90
equipment-0391,오프라인,2026-07-03,96,6
equipment-0392,정상,2026-09-13,23,98
equipment-0393,점검 필요,2026-08-17,33,93
equipment-0394,정상,2026-06-12,46,46
equipment-0395,점검 필요,2026-06-05,18,5
equipment-0396,오프라인,2026-01-01,48,76
equipment-0397,점검 필요,2026-01-02,82,41
equipment-0398,점검 필요,2026-03-17,67,65
equipment-0399,오프라인,2026-07-21,39,57
equipment-0400,정상,2026-07-07,19,12
equipment-0401,오프라인,2026-03-28,21,53
equipment-0402,오프라인,2026-02-12,21,81
equipment-0403,오프라인,2026-05-03,15,37
equipment-0404,정상,2026-05-06,98,60
equipment-0405,점검 필요,2026-06-20,81,38
equipment-0406,점검 필요,2026-07-08,35,38
equipment-0407,점검 필요,2026-06-03,64,69
equipment-0408,오프라인,2026-03-20,8,60
equipment-0409,오프라인,2026-05-28,62,17
equipment-0410,점검 필요,2026-04-06,40,56
equipment-0411,점검 필요,2026-04-20,63,75
equipment-0412,점검 필요,2026-05-31,97,15
equipment-0413,점검 필요,2026-08-11,82,99
equipment-0414,점검 필요,2026-08-07,72,2
equipment-0415,오프라인,2026-01-05,71,94
equipment-0416,오프라인,2026-07-21,77,81
equipment-0417,오프라인,2026-04-01,60,33
equipment-0418,정상,2026-03-23,96,83
equipment-0419,오프라인,2026-02-01,60,64
equipment-0420,오프라인,2026-07-17,66,91
equipment-0421,점검 필요,2026-06-20,2,5
equipment-0422,점검 필요,2026-03-29,57,39
equipment-0423,점검 필요,2026-07-17,45,78
equipment-0424,정상,2026-07-25,86,22
equipment-0425,정상,2026-07-08,8,10
equipment-0426,점검 필요,2026-05-17,1,36
equipment-0427,점검 필요,2026-08-28,50,34
equipment-0428,정상,2026-01-28,24,28
equipment-0429,점검 필요,2026-02-02,80,56
equipment-0430,정상,2026-01-18,34,65
equipment-0431,점검 필요,2026-02-12,8,34
equipment-0432,점검 필요,2026-03-20,3,98
equipment-0433,오프라인,2026-02-23,10,58
equipment-0434,점검 필요,2026-05-11,80,47
equipment-0435,점검 필요,2026-05-12,9,40
equipment-0436,점검 필요,2026-01-30,99,76
equipment-0437,정상,2026-04-12,47,32
equipment-0438,오프라인,2026-07-19,63,35
equipment-0439,정상,2026-06-18,89,68
equipment-0440,정상,2026-01-09,13,28
equipment-0441,점검 필요,2026-02-27,26,50
equipment-0442,점검 필요,2026-09-08,68,44
equipment-0443,점검 필요,2026-06-19,76,28
equipment-0444,정상,2026-04-20,59,22
equipment-0445,점검 필요,2026-01-17,77,38
equipment-0446,정상,2026-03-05,95,23
equipment-0447,정상,2026-01-29,50,51
equipment-0448,점검 필요,2026-07-02,86,95
equipment-0449,오프라인,2026-07-20,100,15
equipment-0450,오프라인,2026-08-25,94,37
equipment-0451,점검 필요,2026-03-06,6,11
equipment-0452,정상,2026-01-28,89,38
equipment-0453,정상,2026-07-02,50,70
equipment-0454,점검 필요,2026-02-02,13,66
equipment-0455,점검 필요,2026-03-12,54,57
equipment-0456,정상,2026-05-30,62,99
equipment-0457,오프라인,2026-08-22,74,22
equipment-0458,점검 필요,2026-08-08,67,25
equipment-0459,오프라인,2026-08-28,11,9
equipment-0460,정상,2026-07-12,40,75
equipment-0461,점검 필요,2026-03-23,73,35
equipment-0462,점검 필요,2026-05-14,31,35
equipment-0463,정상,2026-02-13,15,3
equipment-0464,오프라인,2026-02-20,13,85
equipment-0465,점검 필요,2026-07-08,100,62
equipment-0466,정상,2026-06-21,57,93
equipment-0467,오프라인,2026-01-17,74,69
equipment-0468,정상,2026-05-16,76,66
equipment-0469,점검 필요,2026-02-08,16,47
equipment-0470,점검 필요,2026-02-20,52,91
equipment-0471,정상,2026-07-16,49,32
equipment-0472,오프라인,2026-02-20,79,63
equipment-0473,점검 필요,2026-06-18,88,96
equipment-0474,정상,2026-03-01,45,92
equipment-0475,오프라인,2026-02-22,37,40
equipment-0476,정상,2026-03-09,12,100
equipment-0477,정상,2026-08-15,80,47
equipment-0478,점검 필요,2026-01-05,72,36
equipment-0479,점검 필요,2026-02-18,36,62
equipment-0480,정상,2026-04-20,35,75
equipment-0481,정상,2026-06-17,63,69
equipment-0482,정상,2026-04-10,17,95
equipment-0483,정상,2026-02-14,26,41
equipment-0484,점검 필요,2026-07-30,88,29
equipment-0485,점검 필요,2026-06-12,4,84
equipment-0486,정상,2026-02-08,66,99
equipment-0487,오프라인,2026-03-27,53,93
equipment-0488,점검 필요,2026-03-03,33,64
equipment-0489,점검 필요,2026-03-24,22,84
equipment-0490,정상,2026-08-06,95,19
equipment-0491,오프라인,2026-02-07,82,96
equipment-0492,오프라인,2026-08-20,65,45
equipment-0493,정상,2026-08-21,92,10
equipment-0494,점검 필요,2026-02-04,46,26
equipment-0495,정상,2026-02-11,94,77
equipment-0496,정상,2026-09-06,22,70
equipment-0497,점검 필요,2026-07-23,34,99
equipment-0498,오프라인,2026-04-20,96,68
equipment-0499,정상,2026-03-30,61,58
equipment-0500,정상,2026-05-28,93,97
equipment-0501,점검 필요,2026-05-17,11,2
equipment-0502,점검 필요,2026-04-16,68,63
equipment-0503,정상,2026-04-21,26,13
equipment-0504,정상,2026-06-16,25,79
equipment-0505,점검 필요,2026-03-23,69,82
equipment-0506,정상,2026-03-26,1,74
equipment-0507,오프라인,2026-06-18,56,65
equipment-0508,정상,2026-05-29,10,16
equipment-0509,점검 필요,2026-04-02,100,15
equipment-0510,정상,2026-04-06,30,38
equipment-0511,정상,2026-02-02,83,11
equipment-0512,정상,2026-04-19,86,33
equipment-0513,점검 필요,2026-08-04,90,93
equipment-0514,오프라인,2026-05-16,15,32
equipment-0515,점검 필요,2026-04-03,99,82
equipment-0516,정상,2026-03-12,41,76
equipment-0517,오프라인,2026-07-02,67,58
equipment-0518,점검 필요,2026-08-07,64,39
equipment-0519,정상,2026-07-02,48,73
equipment-0520,점검 필요,2026-08-29,32,85
equipment-0521,오프라인,2026-04-03,68,8
equipment-0522,정상,2026-01-30,40,61
equipment-0523,오프라인,2026-04-29,50,26
equipment-0524,오프라인,2026-08-28,29,22
equipment-0525,정상,2026-03-19,53,74
equipment-0526,점검 필요,2026-08-05,24,70
equipment-0527,정상,2026-03-03,68,15
equipment-0528,점검 필요,2026-01-26,48,3
equipment-0529,정상,2026-08-12,55,60
equipment-0530,오프라인,2026-03-25,96,80
equipment-0531,점검 필요,2026-06-29,96,91
equipment-0532,정상,2026-01-22,9,92
equipment-0533,정상,2026-05-13,89,92
equipment-0534,점검 필요,2026-08-17,26,29
equipment-0535,점검 필요,2026-01-23,33,79
equipment-0536,점검 필요,2026-06-30,37,49
equipment-0537,정상,2026-02-10,33,27
equipment-0538,점검 필요,2026-06-07,6,76
equipment-0539,오프라인,2026-05-10,73,98
equipment-0540,점검 필요,2026-06-28,75,45
equipment-0541,점검 필요,2026-02-24,16,80
equipment-0542,점검 필요,2026-09-04,84,26
equipment-0543,정상,2026-07-03,32,18
equipment-0544,점검 필요,2026-07-05,80,48
equipment-0545,정상,2026-02-23,76,84
equipment-0546,오프라인,2026-02-10,27,30
equipment-0547,점검 필요,2026-07-24,76,66
equipment-0548,오프라인,2026-04-14,19,42
equipment-0549,점검 필요,2026-02-12,64,5
equipment-0550,오프라인,2026-09-06,79,4
equipment-0551,오프라인,2026-08-08,32,3
equipment-0552,오프라인,2026-01-19,58,33
equipment-0553,정상,2026-08-07,20,31
equipment-0554,정상,2026-03-12,90,15
equipment-0555,점검 필요,2026-04-13,56,83
equipment-0556,점검 필요,2026-09-11,18,56
equipment-0557,오프라인,2026-08-04,64,27
equipment-0558,점검 필요,2026-04-29,28,52
equipment-0559,오프라인,2026-09-01,58,6
equipment-0560,점검 필요,2026-01-20,18,45
equipment-0561,점검 필요,2026-02-18,91,17
equipment-0562,오프라인,2026-02-10,8,35
equipment-0563,정상,2026-08-09,70,94
equipment-0564,점검 필요,2026-01-10,31,78
equipment-0565,오프라인,2026-05-10,53,33
equipment-0566,점검 필요,2026-02-01,88,31
equipment-0567,정상,2026-05-26,83,9
equipment-0568,오프라인,2026-02-23,41,22
equipment-0569,정상,2026-05-10,15,40
equipment-0570,정상,2026-05-04,100,63
equipment-0571,점검 필요,2026-04-29,87,14
equipment-0572,정상,2026-08-14,89,92
equipment-0573,정상,2026-04-29,49,38
equipment-0574,점검 필요,2026-07-12,42,50
equipment-0575,정상,2026-06-05,4,83
equipment-0576,점검 필요,2026-03-28,65,59
equipment-0577,오프라인,2026-02-24,49,47
equipment-0578,정상,2026-02-21,91,82
equipment-0579,정상,2026-03-07,70,54
equipment-0580,점검 필요,2026-08-20,58,52
equipment-0581,오프라인,2026-03-19,19,54
equipment-0582,오프라인,2026-06-26,79,62
equipment-0583,점검 필요,2026-05-28,100,69
equipment-0584,정상,2026-03-26,40,29
equipment-0585,정상,2026-05-12,58,46
equipment-0586,점검 필요,2026-04-04,14,67
equipment-0587,오프라인,2026-06-19,54,82
equipment-0588,정상,2026-06-01,8,86
equipment-0589,오프라인,2026-08-26,3,76
equipment-0590,정상,2026-07-13,91,87
equipment-0591,정상,2026-01-30,4,83
equipment-0592,점검 필요,2026-05-15,8,77
equipment-0593,정상,2026-07-14,1,22
equipment-0594,정상,2026-07-27,85,69
equipment-0595,정상,2026-03-01,30,79
equipment-0596,점검 필요,2026-08-11,22,42
equipment-0597,점검 필요,2026-07-27,54,91
equipment-0598,오프라인,2026-08-17,67,29
equipment-0599,오프라인,2026-06-26,71,80
equipment-0600,정상,2026-05-28,51,92
equipment-0601,오프라인,2026-01-06,23,75
equipment-0602,오프라인,2026-06-29,52,98
equipment-0603,점검 필요,2026-06-26,1,57
equipment-0604,정상,2026-02-06,16,90
equipment-0605,점검 필요,2026-05-09,4,5
equipment-0606,오프라인,2026-05-26,60,41
equipment-0607,정상,2026-01-25,58,98
equipment-0608,점검 필요,2026-06-25,34,54
equipment-0609,오프라인,2026-06-08,91,8
equipment-0610,점검 필요,2026-05-28,58,36
equipment-0611,오프라인,2026-01-03,67,27
equipment-0612,정상,2026-01-19,26,33
equipment-0613,점검 필요,2026-01-13,28,68
equipment-0614,점검 필요,2026-06-06,21,45
