city,name,code
경상남도,반성,NAT880766
경상남도,북천,NAT881269
경상남도,삼랑진,NAT013967
경상남도,상동,NAT013747
경상남도,신창원,NAT810048
경상남도,양보,NAT881323
경상남도,완사,NAT881168
경상남도,원동,NAT014058
경상남도,원북,NAT880644
경상남도,중리,NAT880408
경상남도,진례,NAT880179
경상남도,진성,NAT880825
경상남도,진영,NAT880177
경상남도,진주,NAT881014
경상남도,진해,NAT810195
경상남도,창원,NAT880310
경상남도,창원중앙,NAT880281
경상남도,평촌,NAT880702
경상남도,하동,NAT881460
경상남도,한림정,NAT880099
경상남도,함안,NAT880520
경상남도,횡천,NAT881386
경상북도,강구,NAT8B0671
경상북도,개포,NAT300733
경상북도,경산,NAT013395
경상북도,경주,NATH13421
경상북도,고래불,NAT752102
경상북도,구미,NAT012775
경상북도,구서경주,NAT023821
경상북도,구안강,NAT751296
경상북도,기성,NAT752319
경상북도,김천,NAT012546
경상북도,김천구미,NATH12383
경상북도,남성현,NAT013542
경상북도,매화,NAT752428
경상북도,문경,NAT280927
경상북도,봉성,NAT600257
경상북도,봉화,NAT600147
경상북도,부조,NAT751354
경상북도,북영천,NAT023424
경상북도,분천,NAT600593
경상북도,비동,NAT600635
경상북도,사곡,NAT012821
경상북도,사방,NAT751238
경상북도,상주,NAT300360
경상북도,서경주,NAT8B0082
경상북도,석포,NAT600768
경상북도,승부,NAT600692
경상북도,신녕,NAT023279
경상북도,신동,NAT013067
경상북도,아포,NAT012700
경상북도,아화,NAT023601
경상북도,안강,NAT8B0190
경상북도,안동,NAT022558
경상북도,약목,NAT012903
경상북도,양원,NAT600655
경상북도,양자동,NAT751325
경상북도,영덕,NAT8B0737
경상북도,영주,NAT022188
경상북도,영천,NAT023449
경상북도,영해,NAT752029
경상북도,예천,NAT300850
경상북도,옥산,NAT300200
경상북도,왜관,NAT012968
경상북도,용궁,NAT300669
경상북도,울진,NAT752540
경상북도,월포,NAT8B0504
경상북도,의성,NAT022844
경상북도,임기,NAT600476
경상북도,입실,NAT750933
경상북도,장사,NAT8B0595
경상북도,점촌,NAT300600
경상북도,죽변,NAT752618
경상북도,청도,NAT013629
경상북도,청리,NAT300271
경상북도,춘양,NAT600379
경상북도,탑리,NAT022961
경상북도,평해,NAT752245
경상북도,포항,NAT8B0351
경상북도,풍기,NAT022053
경상북도,하양,NAT830200
경상북도,함창,NAT300558
경상북도,현동,NAT600527
경상북도,후포,NAT752196
경상북도,흥부,NAT752682
광주광역시,광주,NAT883012
광주광역시,광주송정,NAT031857
광주광역시,극락강,NAT883086
광주광역시,서광주,NAT882936
광주광역시,효천,NAT882904
대구광역시,군위,NAT023073
대구광역시,대구,NAT013239
대구광역시,동대구,NAT013271
대구광역시,서대구,NAT013189
대구광역시,화본,NAT023127
대전광역시,대전,NAT011668
대전광역시,서대전,NAT030057
대전광역시,신탄진,NAT011524
대전광역시,흑석리,NAT030173
부산광역시,구포,NAT014281
부산광역시,기장,NAT750329
부산광역시,동래,NAT750106
부산광역시,부산,NAT014445
부산광역시,부전,NAT750046
부산광역시,사상,NAT014331
부산광역시,센텀,NAT750161
부산광역시,송정,NAT750254
부산광역시,신해운대,NAT750189
부산광역시,좌천,NAT750412
부산광역시,화명,NAT014244
서울특별시,광운대,NAT130182
서울특별시,노량진,NAT010058
서울특별시,상봉,NAT020040
서울특별시,서빙고,NAT130036
서울특별시,서울,NAT010000
서울특별시,수서,NATH30000
서울특별시,신도림,NAT010106
서울특별시,영등포,NAT010091
서울특별시,옥수,NAT130070
서울특별시,왕십리,NAT130104
서울특별시,용산,NAT010032
서울특별시,청량리,NAT130126
세종특별자치시,부강,NAT011403
세종특별자치시,소정리,NAT011079
세종특별자치시,전의,NAT011154
세종특별자치시,조치원,NAT011298
울산광역시,남창,NAT750560
울산광역시,덕하,NAT750653
울산광역시,북울산,NAT750781
울산광역시,울산,NATH13717
울산광역시,태화강,NAT750726
울산광역시,효문,NAT750760
인천광역시,검암,NATC10325
인천광역시,인천공항T1,NATC10580
인천광역시,인천공항T2,NATC30058
인천광역시,주안,NAT060231
전라남도,강진,NAT470446
전라남도,곡성,NAT041072
전라남도,광양,NAT881708
전라남도,구례구,NAT041285
전라남도,나주,NAT031998
전라남도,남평,NAT882847
전라남도,능주,NAT882666
전라남도,다시,NAT032099
전라남도,득량,NAT882237
전라남도,명봉,NAT882416
전라남도,목포,NAT032563
전라남도,몽탄,NAT032313
전라남도,무안,NAT032273
전라남도,백양사,NAT031486
전라남도,벌교,NAT882034
전라남도,보성,NAT882328
전라남도,순천,NAT041595
전라남도,신보성,NAT470804
전라남도,여수EXPO,NAT041993
전라남도,여천,NAT041866
전라남도,영암,NAT470133
전라남도,예당,NAT882194
전라남도,옥곡,NAT881584
전라남도,율촌,NAT041710
전라남도,이양,NAT882544
전라남도,일로,NAT032422
전라남도,임성리,NAT032489
전라남도,장동,NAT470718
전라남도,장성,NAT031638
전라남도,전남장흥,NAT470584
전라남도,조성,NAT882141
전라남도,진상,NAT881538
전라남도,함평,NAT032212
전라남도,해남,NAT470312
전라남도,화순,NAT882755
전북특별자치도,관촌,NAT040496
전북특별자치도,군산,NAT081388
전북특별자치도,김제,NAT031056
전북특별자치도,남원,NAT040868
전북특별자치도,대야,NAT320131
전북특별자치도,동산,NAT040173
전북특별자치도,삼례,NAT040133
전북특별자치도,신리,NAT040352
전북특별자치도,신태인,NAT031179
전북특별자치도,오수,NAT040667
전북특별자치도,용동,NAT030667
전북특별자치도,익산,NAT030879
전북특별자치도,임실,NAT040536
전북특별자치도,전주,NAT040257
전북특별자치도,정읍,NAT031314
전북특별자치도,함열,NAT030718
충청남도,강경,NAT030607
충청남도,계룡,NAT030254
충청남도,공주,NATH20438
충청남도,광천,NAT080749
충청남도,논산,NAT030508
충청남도,대천,NAT080952
충청남도,도고온천,NAT080309
충청남도,삽교,NAT080492
충청남도,서천,NAT081343
충청남도,성환,NAT010848
충청남도,신례원,NAT080353
충청남도,신창,NAT080216
충청남도,아산,NAT080045
충청남도,연무대,NAT340090
충청남도,연산,NAT030396
충청남도,예산,NAT080402
충청남도,온양온천,NAT080147
충청남도,웅천,NAT081099
충청남도,인주,NAT460553
충청남도,장항,NAT081318
충청남도,천안,NAT010971
충청남도,천안아산,NATH10960
충청남도,청소,NAT080827
충청남도,판교(충남),NAT081240
충청남도,합덕,NAT460641
충청남도,홍성,NAT080622
충청북도,각계,NAT012054
충청북도,감곡장호원,NAT280212
충청북도,단양,NAT021784
충청북도,도담,NAT021723
충청북도,목행,NAT050881
충청북도,봉양,NAT021478
충청북도,살미,NAT280666
충청북도,삼탄,NAT051006
충청북도,수안보온천,NAT280751
충청북도,심천,NAT012016
충청북도,앙성온천,NAT280358
충청북도,연풍,NAT280814
충청북도,영동,NAT012124
충청북도,오근장,NAT050215
충청북도,오송,NAT050044
충청북도,옥천,NAT011833
충청북도,음성,NAT050596
충청북도,이원,NAT011916
충청북도,장락,NAT650050
충청북도,제천,NAT021549
충청북도,주덕,NAT050719
충청북도,증평,NAT050366
충청북도,지탄,NAT011972
충청북도,청주,NAT050114
충청북도,청주공항,NAT050244
충청북도,추풍령,NAT012355
충청북도,충주,NAT050827
충청북도,황간,NAT012270
