id,name,type1,type2,generation,hp,attack,defense,speed,legendary
103,포켓몬00103,불꽃,,2,162,111,160,157,0
104,포켓몬00104,전기,,7,135,118,81,155,0
105,포켓몬00105,노말,,1,176,30,200,58,0
106,포켓몬00106,노말,,3,81,49,146,24,0
107,포켓몬00107,독,,8,94,13,64,78,0
108,포켓몬00108,땅,전기,5,221,165,155,174,0
109,포켓몬00109,전기,,9,77,170,43,73,0
110,포켓몬00110,불꽃,노말,5,132,36,124,82,0
111,포켓몬00111,노말,,8,132,25,158,15,0
112,포켓몬00112,비행,,1,43,63,177,152,0
113,포켓몬00113,풀,,5,167,15,200,49,0
114,포켓몬00114,땅,,3,169,116,167,130,0
115,포켓몬00115,땅,,6,102,176,31,46,0
116,포켓몬00116,땅,독,9,29,121,27,85,0
117,포켓몬00117,불꽃,,7,241,136,216,5,0
118,포켓몬00118,에스퍼,,1,68,137,97,164,0
119,포켓몬00119,땅,,4,88,145,38,78,0
120,포켓몬00120,땅,벌레,4,201,45,84,146,1
121,포켓몬00121,독,불꽃,8,50,170,218,44,0
122,포켓몬00122,노말,,5,126,128,125,67,0
123,포켓몬00123,물,,9,211,39,226,22,0
124,포켓몬00124,독,,9,88,5,77,81,0
125,포켓몬00125,벌레,,8,241,43,119,142,0
126,포켓몬00126,비행,,9,116,121,87,53,0
127,포켓몬00127,전기,,4,239,110,16,86,0
128,포켓몬00128,독,,3,146,14,37,133,0
129,포켓몬00129,비행,,8,45,139,121,8,0
130,포켓몬00130,독,,3,39,125,205,72,0
131,포켓몬00131,독,,6,238,177,224,141,0
132,포켓몬00132,비행,,8,243,143,14,163,0
133,포켓몬00133,노말,,2,131,30,199,167,0
134,포켓몬00134,불꽃,,5,251,12,16,88,0
135,포켓몬00135,노말,,7,57,67,140,110,0
136,포켓몬00136,물,불꽃,7,178,179,66,132,0
137,포켓몬00137,물,노말,8,85,175,7,124,0
138,포켓몬00138,에스퍼,땅,6,170,81,168,113,0
139,포켓몬00139,땅,,4,118,128,32,65,0
140,포켓몬00140,비행,,5,25,173,106,75,1
141,포켓몬00141,풀,,8,233,78,203,63,0
142,포켓몬00142,비행,전기,5,193,189,201,173,0
143,포켓몬00143,물,,1,99,117,13,153,0
144,포켓몬00144,물,노말,6,211,111,49,56,0
145,포켓몬00145,에스퍼,,6,155,133,74,47,0
146,포켓몬00146,땅,,5,211,91,210,34,0
147,포켓몬00147,불꽃,전기,7,236,147,98,28,0
148,포켓몬00148,풀,불꽃,8,114,177,196,177,0
149,포켓몬00149,독,,6,47,177,64,125,0
150,포켓몬00150,에스퍼,,4,185,21,167,123,0
151,포켓몬00151,노말,,2,55,16,14,82,0
152,포켓몬00152,불꽃,에스퍼,3,119,121,99,176,0
153,포켓몬00153,에스퍼,,3,246,111,172,30,0
154,포켓몬00154,벌레,,5,28,181,99,60,0
155,포켓몬00155,전기,,2,195,99,144,170,0
156,포켓몬00156,독,불꽃,8,43,174,59,169,0
157,포켓몬00157,풀,비행,4,52,149,57,22,0
158,포켓몬00158,에스퍼,전기,4,104,42,206,157,1
159,포켓몬00159,물,,9,84,49,33,174,0
160,포켓몬00160,물,전기,6,24,49,72,18,0
161,포켓몬00161,독,,2,141,119,204,97,0
162,포켓몬00162,불꽃,,4,177,16,191,173,0
163,포켓몬00163,땅,,1,35,127,221,107,0
164,포켓몬00164,불꽃,,8,38,25,87,160,0
165,포켓몬00165,물,벌레,9,202,88,102,157,0
166,포켓몬00166,땅,,7,45,184,34,172,0
167,포켓몬00167,에스퍼,,4,130,120,63,110,0
168,포켓몬00168,땅,,2,100,114,85,175,0
169,포켓몬00169,물,,8,37,28,217,26,0
170,포켓몬00170,불꽃,,6,227,38,147,20,0
171,포켓몬00171,에스퍼,,2,125,95,228,175,0
172,포켓몬00172,독,,1,93,158,84,95,0
173,포켓몬00173,에스퍼,땅,4,236,32,94,147,0
174,포켓몬00174,노말,,7,236,148,201,164,0
175,포켓몬00175,에스퍼,노말,1,66,74,184,84,0
176,포켓몬00176,비행,물,7,37,41,194,167,0
177,포켓몬00177,불꽃,,4,116,112,121,92,0
178,포켓몬00178,노말,,2,246,18,44,45,0
179,포켓몬00179,풀,,5,133,174,113,129,0
180,포켓몬00180,독,에스퍼,2,108,115,33,77,0
181,포켓몬00181,벌레,,5,31,61,106,158,0
182,포켓몬00182,전기,,4,216,40,200,70,0
183,포켓몬00183,불꽃,독,3,53,102,141,63,0
184,포켓몬00184,비행,풀,7,24,122,24,85,0
185,포켓몬00185,벌레,,7,94,34,108,10,0
186,포켓몬00186,물,,8,232,181,97,27,0
187,포켓몬00187,불꽃,벌레,7,154,25,106,84,0
188,포켓몬00188,전기,,3,39,135,167,34,0
189,포켓몬00189,전기,,6,109,170,213,42,0
190,포켓몬00190,물,,3,214,172,24,50,0
191,포켓몬00191,땅,,8,194,149,169,167,0
192,포켓몬00192,비행,,6,58,117,22,125,0
193,포켓몬00193,노말,,1,110,134,23,84,0
194,포켓몬00194,풀,노말,2,185,28,162,157,0
195,포켓몬00195,땅,,1,135,151,171,53,0
196,포켓몬00196,땅,,1,135,31,212,92,0
197,포켓몬00197,불꽃,,3,30,68,186,117,0
198,포켓몬00198,에스퍼,,3,113,100,77,104,0
199,포켓몬00199,비행,,1,222,166,170,90,0
200,포켓몬00200,불꽃,,7,92,69,190,173,0
201,포켓몬00201,벌레,,6,40,154,174,41,0
202,포켓몬00202,노말,,7,53,157,186,26,0
203,포켓몬00203,독,,6,228,37,176,180,0
204,포켓몬00204,불꽃,,7,150,97,9,97,0
205,포켓몬00205,전기,,8,69,62,40,44,0
206,포켓몬00206,불꽃,,9,233,139,14,174,0
207,포켓몬00207,벌레,독,3,61,51,217,164,0
208,포켓몬00208,물,,1,125,98,178,65,0
209,포켓몬00209,벌레,땅,4,156,66,84,125,0
210,포켓몬00210,전기,,8,138,77,204,102,0
211,포켓몬00211,독,,4,225,159,40,69,0
212,포켓몬00212,땅,,9,46,187,221,137,0
213,포켓몬00213,노말,물,5,135,136,42,116,0
214,포켓몬00214,전기,,6,26,111,18,106,0
215,포켓몬00215,전기,,2,115,62,12,86,0
216,포켓몬00216,비행,,3,29,78,217,125,0
217,포켓몬00217,물,,8,134,162,6,25,1
218,포켓몬00218,전기,,9,206,160,140,113,0
219,포켓몬00219,노말,불꽃,1,81,112,168,164,0
220,포켓몬00220,불꽃,,8,172,142,9,166,0
221,포켓몬00221,전기,,5,129,5,162,95,0
222,포켓몬00222,독,불꽃,9,112,22,139,144,0
223,포켓몬00223,에스퍼,,7,243,125,16,167,0
224,포켓몬00224,비행,풀,6,221,22,93,66,0
225,포켓몬00225,불꽃,,6,54,16,95,144,0
226,포켓몬00226,물,,8,198,127,166,51,0
227,포켓몬00227,불꽃,,8,29,80,56,16,0
228,포켓몬00228,풀,,5,151,106,213,144,0
229,포켓몬00229,풀,,4,93,96,225,17,0
230,포켓몬00230,비행,,7,247,107,195,117,0
231,포켓몬00231,독,,3,147,182,132,99,0
232,포켓몬00232,에스퍼,불꽃,7,40,115,159,51,0
233,포켓몬00233,비행,,5,98,119,159,114,0
234,포켓몬00234,땅,,1,206,95,162,116,0
235,포켓몬00235,풀,독,6,151,178,45,12,0
236,포켓몬00236,벌레,,8,28,37,22,65,0
237,포켓몬00237,비행,,1,174,44,178,120,0
238,포켓몬00238,비행,,2,166,40,140,98,0
239,포켓몬00239,노말,불꽃,1,208,52,132,137,0
240,포켓몬00240,에스퍼,노말,8,74,161,78,130,0
241,포켓몬00241,물,,8,64,187,118,27,0
242,포켓몬00242,비행,,2,160,143,79,81,0
243,포켓몬00243,물,,9,77,36,56,40,0
244,포켓몬00244,땅,에스퍼,6,139,146,38,161,0
245,포켓몬00245,불꽃,,8,154,110,201,109,0
246,포켓몬00246,불꽃,비행,2,135,124,179,137,0
247,포켓몬00247,에스퍼,,3,216,38,115,133,0
248,포켓몬00248,풀,,9,59,82,47,46,0
249,포켓몬00249,전기,,9,249,77,221,25,0
250,포켓몬00250,에스퍼,노말,9,43,133,169,48,0
251,포켓몬00251,벌레,,6,235,149,15,12,0
252,포켓몬00252,벌레,전기,7,178,168,12,132,0
253,포켓몬00253,에스퍼,노말,8,82,180,108,81,0
254,포켓몬00254,풀,독,8,138,57,92,160,0
255,포켓몬00255,비행,,6,122,38,199,99,0
256,포켓몬00256,불꽃,,8,51,73,120,68,0
257,포켓몬00257,풀,독,7,83,45,213,88,0
258,포켓몬00258,비행,물,8,151,124,132,83,0
259,포켓몬00259,불꽃,,9,137,66,60,154,0
260,포켓몬00260,풀,벌레,8,93,142,7,32,0
261,포켓몬00261,노말,,7,113,16,107,18,0
262,포켓몬00262,전기,,5,38,103,134,120,0
263,포켓몬00263,노말,,2,52,29,105,100,0
264,포켓몬00264,비행,,6,213,41,55,159,0
265,포켓몬00265,에스퍼,풀,3,202,90,210,126,0
266,포켓몬00266,물,,9,55,88,161,86,0
267,포켓몬00267,벌레,,5,171,91,134,135,0
268,포켓몬00268,벌레,풀,6,104,177,33,111,0
269,포켓몬00269,풀,,5,187,153,152,63,0
270,포켓몬00270,벌레,,9,181,189,163,102,0
271,포켓몬00271,전기,불꽃,4,24,117,85,112,0
272,포켓몬00272,전기,,8,243,20,185,40,0
273,포켓몬00273,에스퍼,,8,154,101,85,49,0
274,포켓몬00274,에스퍼,,6,193,189,179,169,0
275,포켓몬00275,노말,,4,83,76,147,81,0
276,포켓몬00276,노말,,4,196,185,130,86,0
277,포켓몬00277,에스퍼,,5,93,36,151,178,0
278,포켓몬00278,독,,3,94,15,78,25,0
279,포켓몬00279,땅,,8,74,56,216,142,0
280,포켓몬00280,에스퍼,,3,47,162,194,155,0
281,포켓몬00281,풀,,9,77,168,64,18,0
282,포켓몬00282,비행,,2,194,40,6,145,0
283,포켓몬00283,물,,8,142,171,56,78,0
284,포켓몬00284,풀,,2,186,151,64,141,0
285,포켓몬00285,풀,,3,126,50,14,106,0
286,포켓몬00286,물,,5,244,14,7,81,0
287,포켓몬00287,불꽃,,6,92,121,169,144,0
288,포켓몬00288,물,,8,89,54,212,33,0
289,포켓몬00289,땅,,3,23,91,207,80,0
290,포켓몬00290,전기,독,7,151,88,27,107,0
291,포켓몬00291,물,,8,102,68,6,71,0
292,포켓몬00292,땅,,6,97,154,190,151,1
293,포켓몬00293,비행,,1,190,35,124,83,0
294,포켓몬00294,에스퍼,,5,196,35,168,80,0
295,포켓몬00295,전기,물,8,59,121,196,160,0
296,포켓몬00296,에스퍼,,9,225,175,216,60,0
297,포켓몬00297,벌레,,2,154,119,140,97,0
298,포켓몬00298,벌레,에스퍼,9,71,151,142,43,0
299,포켓몬00299,에스퍼,,4,203,154,130,28,0
300,포켓몬00300,땅,,8,53,136,111,121,0
301,포켓몬00301,에스퍼,,5,205,10,106,70,0
302,포켓몬00302,전기,,1,128,93,184,21,0
303,포켓몬00303,풀,,2,140,13,78,109,0
304,포켓몬00304,물,,7,115,102,119,101,0
305,포켓몬00305,에스퍼,비행,2,65,142,105,140,0
306,포켓몬00306,전기,,1,96,123,177,144,0
307,포켓몬00307,독,,4,137,93,44,75,0
308,포켓몬00308,불꽃,독,1,81,57,22,30,0
309,포켓몬00309,땅,,1,82,16,107,117,0
310,포켓몬00310,전기,,1,55,133,79,64,0
311,포켓몬00311,벌레,,6,80,82,229,41,0
312,포켓몬00312,에스퍼,노말,5,35,147,156,49,0
313,포켓몬00313,독,,1,108,169,176,102,0
314,포켓몬00314,비행,,7,58,81,101,52,0
315,포켓몬00315,땅,전기,5,239,186,41,123,0
316,포켓몬00316,에스퍼,,7,162,140,39,104,0
317,포켓몬00317,전기,,2,135,99,28,142,0
318,포켓몬00318,전기,독,1,243,23,53,155,0
319,포켓몬00319,에스퍼,전기,6,97,8,59,53,0
320,포켓몬00320,불꽃,,8,254,67,183,159,0
321,포켓몬00321,독,,9,102,77,102,124,0
322,포켓몬00322,비행,,6,151,132,124,30,0
323,포켓몬00323,땅,,6,254,57,99,85,0
324,포켓몬00324,벌레,,3,24,71,146,154,0
325,포켓몬00325,독,전기,6,78,102,150,67,0
326,포켓몬00326,비행,땅,8,137,48,192,95,0
327,포켓몬00327,에스퍼,,9,184,20,139,13,0
328,포켓몬00328,불꽃,,1,215,6,110,40,0
329,포켓몬00329,전기,물,1,75,134,121,100,0
330,포켓몬00330,벌레,,8,24,6,141,146,0
331,포켓몬00331,풀,,5,157,78,9,133,0
332,포켓몬00332,독,,3,47,29,139,43,0
333,포켓몬00333,벌레,,6,88,106,25,100,0
334,포켓몬00334,땅,,4,96,180,216,25,0
335,포켓몬00335,풀,독,7,161,126,19,168,1
336,포켓몬00336,물,독,6,164,29,140,15,0
337,포켓몬00337,벌레,,1,39,180,76,144,0
338,포켓몬00338,풀,비행,1,73,155,41,106,0
339,포켓몬00339,노말,전기,7,193,143,89,103,0
340,포켓몬00340,물,,2,148,93,18,30,0
341,포켓몬00341,불꽃,,7,218,88,12,167,0
342,포켓몬00342,땅,,6,161,101,115,52,0
343,포켓몬00343,독,벌레,5,224,68,187,23,0
344,포켓몬00344,물,,3,209,104,86,97,0
345,포켓몬00345,풀,,8,112,74,31,38,0
346,포켓몬00346,독,,9,151,109,31,11,0
347,포켓몬00347,에스퍼,벌레,6,241,103,8,79,0
348,포켓몬00348,불꽃,,9,251,67,151,138,0
349,포켓몬00349,독,노말,5,88,131,42,21,0
350,포켓몬00350,노말,,8,220,24,97,69,0
351,포켓몬00351,땅,,4,137,32,39,82,1
352,포켓몬00352,독,,7,225,89,117,90,0
353,포켓몬00353,벌레,비행,4,142,85,50,106,0
354,포켓몬00354,노말,,8,167,67,88,101,0
355,포켓몬00355,독,,4,171,144,51,179,0
356,포켓몬00356,풀,,8,201,58,117,79,0
357,포켓몬00357,불꽃,,7,192,132,40,167,0
358,포켓몬00358,노말,,7,222,101,23,119,0
359,포켓몬00359,땅,,9,149,182,112,144,0
360,포켓몬00360,비행,,9,172,168,26,32,0
361,포켓몬00361,비행,벌레,1,164,170,178,170,0
362,포켓몬00362,비행,,7,47,7,30,71,0
363,포켓몬00363,에스퍼,,4,134,100,105,123,0
364,포켓몬00364,벌레,,3,108,11,128,31,0
365,포켓몬00365,불꽃,물,6,99,92,121,57,0
366,포켓몬00366,비행,,8,204,183,120,86,0
367,포켓몬00367,풀,,2,25,92,170,32,0
368,포켓몬00368,물,,4,152,49,146,45,0
369,포켓몬00369,독,,4,224,108,166,52,0
370,포켓몬00370,독,,4,135,156,114,104,1
371,포켓몬00371,전기,불꽃,2,224,142,52,98,0
372,포켓몬00372,땅,,9,183,85,157,104,0
373,포켓몬00373,벌레,비행,8,178,49,213,177,0
374,포켓몬00374,노말,,2,192,39,85,35,0
375,포켓몬00375,불꽃,물,9,119,112,157,40,0
376,포켓몬00376,독,에스퍼,3,162,47,130,78,0
377,포켓몬00377,비행,,1,241,96,7,129,0
378,포켓몬00378,독,,9,187,131,109,180,0
379,포켓몬00379,땅,,2,164,12,208,61,0
380,포켓몬00380,노말,,3,219,122,149,131,0
381,포켓몬00381,불꽃,,5,218,144,215,98,0
382,포켓몬00382,풀,,8,159,60,113,31,0
383,포켓몬00383,전기,풀,8,87,94,225,27,0
384,포켓몬00384,불꽃,,4,73,155,181,94,0
385,포켓몬00385,벌레,,3,177,40,205,57,0
386,포켓몬00386,풀,,9,91,157,142,48,0
387,포켓몬00387,노말,,9,250,178,213,29,0
388,포켓몬00388,독,,5,241,172,37,38,0
389,포켓몬00389,비행,,7,145,41,152,166,0
390,포켓몬00390,독,,2,182,28,108,136,0
391,포켓몬00391,비행,,8,103,153,5,28,0
392,포켓몬00392,땅,,6,237,21,208,141,0
393,포켓몬00393,독,,8,88,87,217,77,0
394,포켓몬00394,벌레,땅,6,248,179,200,17,0
395,포켓몬00395,땅,물,8,136,5,114,56,0
396,포켓몬00396,물,,5,60,75,28,172,0
397,포켓몬00397,불꽃,,3,33,106,165,83,0
398,포켓몬00398,전기,,2,200,29,5,59,0
399,포켓몬00399,물,,9,194,118,7,7,0
400,포켓몬00400,불꽃,,7,197,38,127,23,0
401,포켓몬00401,불꽃,,2,46,85,99,81,0
402,포켓몬00402,물,,3,37,140,149,7,0
403,포켓몬00403,물,,4,180,43,110,162,0
404,포켓몬00404,전기,불꽃,3,212,36,155,103,0
405,포켓몬00405,독,,3,83,75,170,26,0
406,포켓몬00406,벌레,,5,219,181,11,173,0
407,포켓몬00407,전기,,9,68,105,80,170,0
408,포켓몬00408,전기,,2,81,132,168,157,0
409,포켓몬00409,풀,,6,53,104,225,150,0
410,포켓몬00410,에스퍼,,8,217,23,9,155,0
411,포켓몬00411,노말,풀,7,149,78,165,133,0
412,포켓몬00412,독,,2,183,142,142,162,0
413,포켓몬00413,불꽃,,9,255,57,211,44,0
414,포켓몬00414,독,,2,99,183,116,66,0
415,포켓몬00415,불꽃,,2,136,161,160,19,0
416,포켓몬00416,물,,1,61,132,93,138,0
417,포켓몬00417,노말,물,5,207,35,202,12,0
418,포켓몬00418,독,불꽃,5,202,152,165,24,0
419,포켓몬00419,에스퍼,,8,239,150,47,99,0
420,포켓몬00420,불꽃,,2,78,135,5,16,0
421,포켓몬00421,풀,땅,6,118,43,50,14,0
422,포켓몬00422,독,전기,7,254,189,86,74,0
423,포켓몬00423,벌레,,9,192,18,50,62,0
424,포켓몬00424,풀,,2,244,124,226,77,0
425,포켓몬00425,노말,,9,136,7,99,56,0
426,포켓몬00426,노말,,4,138,99,156,131,0
427,포켓몬00427,전기,,9,214,67,43,6,0
428,포켓몬00428,풀,비행,1,105,5,199,173,0
429,포켓몬00429,노말,에스퍼,4,127,130,20,41,0
430,포켓몬00430,불꽃,전기,9,125,184,100,122,0
431,포켓몬00431,불꽃,,9,54,168,214,105,0
432,포켓몬00432,벌레,물,4,94,71,222,85,0
433,포켓몬00433,독,,6,101,120,74,64,0
434,포켓몬00434,전기,벌레,2,59,32,47,120,0
435,포켓몬00435,독,비행,4,135,83,123,72,0
436,포켓몬00436,불꽃,노말,1,75,88,42,28,0
437,포켓몬00437,비행,,1,193,81,71,49,0
438,포켓몬00438,독,,9,211,145,68,29,0
439,포켓몬00439,물,풀,4,53,55,215,107,0
440,포켓몬00440,불꽃,,5,254,24,10,21,0
441,포켓몬00441,땅,,2,251,89,36,15,0
442,포켓몬00442,풀,벌레,7,230,190,106,132,0
443,포켓몬00443,독,전기,3,90,76,119,43,0
444,포켓몬00444,벌레,,5,147,110,230,145,0
445,포켓몬00445,불꽃,물,7,71,169,209,139,0
446,포켓몬00446,에스퍼,,7,220,187,96,127,0
447,포켓몬00447,땅,,9,102,104,74,51,0
448,포켓몬00448,벌레,노말,1,227,125,140,96,0
449,포켓몬00449,전기,,2,83,173,66,73,0
450,포켓몬00450,풀,,4,167,104,95,49,0
451,포켓몬00451,벌레,,6,253,156,12,95,0
452,포켓몬00452,벌레,전기,8,158,84,49,130,0
453,포켓몬00453,풀,전기,1,154,127,5,89,0
454,포켓몬00454,전기,,6,203,50,210,87,0
455,포켓몬00455,물,,3,218,33,221,139,0
456,포켓몬00456,불꽃,,7,170,30,91,82,0
457,포켓몬00457,물,,7,222,168,129,171,0
458,포켓몬00458,에스퍼,,6,77,175,155,49,0
459,포켓몬00459,노말,풀,7,237,150,13,51,0
460,포켓몬00460,벌레,,2,147,41,89,24,0
461,포켓몬00461,비행,불꽃,6,134,7,72,58,0
462,포켓몬00462,불꽃,,2,204,5,17,103,0
463,포켓몬00463,독,,7,146,101,94,144,0
464,포켓몬00464,땅,,4,61,120,23,13,0
465,포켓몬00465,비행,불꽃,2,107,48,101,46,0
466,포켓몬00466,에스퍼,,2,106,157,162,128,0
467,포켓몬00467,독,,3,175,116,45,18,0
468,포켓몬00468,전기,,7,198,146,189,143,0
469,포켓몬00469,노말,불꽃,1,120,151,145,130,0
470,포켓몬00470,비행,불꽃,5,230,174,165,158,0
471,포켓몬00471,불꽃,물,5,40,126,221,34,0
472,포켓몬00472,독,,5,43,169,144,104,0
473,포켓몬00473,독,,8,31,72,117,124,0
474,포켓몬00474,노말,,3,212,183,175,29,0
475,포켓몬00475,비행,,7,213,155,63,146,0
476,포켓몬00476,독,,7,157,180,226,126,0
477,포켓몬00477,전기,,2,121,187,13,133,0
478,포켓몬00478,에스퍼,,3,50,119,49,47,0
479,포켓몬00479,전기,독,2,194,116,56,165,0
480,포켓몬00480,벌레,불꽃,2,119,147,106,146,0
481,포켓몬00481,노말,,1,221,184,164,155,0
482,포켓몬00482,독,물,3,165,155,154,30,0
483,포켓몬00483,벌레,,5,242,142,230,93,0
484,포켓몬00484,노말,,8,166,160,126,14,0
485,포켓몬00485,독,벌레,7,29,106,230,89,0
486,포켓몬00486,풀,,5,249,100,10,91,0
487,포켓몬00487,노말,,8,239,183,180,30,0
488,포켓몬00488,전기,땅,6,88,111,159,170,0
489,포켓몬00489,땅,독,8,214,137,227,100,0
490,포켓몬00490,에스퍼,,2,99,186,134,108,0
491,포켓몬00491,에스퍼,,1,64,54,229,56,0
492,포켓몬00492,전기,풀,6,200,55,75,99,0
493,포켓몬00493,에스퍼,,2,194,12,66,100,0
494,포켓몬00494,땅,,9,109,93,46,71,0
495,포켓몬00495,불꽃,독,1,61,151,204,59,0
496,포켓몬00496,전기,,5,186,109,136,10,0
497,포켓몬00497,풀,,3,185,49,158,7,0
498,포켓몬00498,벌레,,5,202,186,169,75,0
499,포켓몬00499,독,,8,84,60,124,82,0
500,포켓몬00500,벌레,,2,21,135,174,100,0
501,포켓몬00501,벌레,,5,195,32,128,21,0
502,포켓몬00502,노말,,5,86,172,187,171,0
503,포켓몬00503,물,,4,250,19,211,158,0
504,포켓몬00504,비행,,1,187,132,80,71,0
505,포켓몬00505,독,,1,169,186,151,53,0
506,포켓몬00506,전기,,8,252,176,96,134,0
507,포켓몬00507,물,,9,66,80,29,125,0
508,포켓몬00508,노말,,9,215,51,179,90,0
509,포켓몬00509,전기,,5,127,89,100,71,0
510,포켓몬00510,땅,,8,33,167,154,153,0
511,포켓몬00511,불꽃,,4,148,35,227,179,0
512,포켓몬00512,노말,,3,55,56,92,109,0
513,포켓몬00513,땅,물,2,144,90,166,50,0
514,포켓몬00514,풀,노말,4,214,48,152,45,0
515,포켓몬00515,불꽃,독,7,123,114,127,103,1
